시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11545,시흥동,벽산,84.99,10,2000,2026,3,8,52000,,,중개거래,금하로,1010
11545,독산동,독산주공14단지,38.64,5,1990,2026,3,31,37000,,,중개거래,한내로,1088
11545,시흥동,우방,59.91,1,2002,2026,3,4,39000,,,중개거래,금하로,1011
11545,시흥동,성지,67.27,1,1986,2026,3,20,53000,,,중개거래,시흥대로51길,산173-8
11545,시흥동,무지개,53.75,5,1980,2026,3,24,46000,,,중개거래,시흥대로73길,109-1
11545,독산동,e편한세상독산더타워,59.6222,21,2019,2026,3,30,81000,,,중개거래,범안로,1007-13
11545,시흥동,무지개,53.88,1,1980,2026,3,26,44800,,,중개거래,시흥대로73길,109-1
11545,독산동,e편한세상독산더타워,84.9256,13,2019,2026,3,30,97900,,,중개거래,범안로,1007-13
11545,시흥동,무지개,53.79,8,1980,2026,3,14,45500,,,중개거래,시흥대로73길,109-1
11545,시흥동,무지개,53.79,9,1980,2026,3,26,45500,,,중개거래,시흥대로73길,109-1
11545,독산동,e편한세상독산더타워,74.9482,31,2019,2026,3,21,88000,,,중개거래,범안로,1007-13
11545,시흥동,남서울건영아파트,77.02,13,1982,2026,3,21,53500,,,중개거래,시흥대로59길,992-2
11545,시흥동,현대(209),82.53,8,1996,2026,3,25,44000,,,중개거래,금하로23라길,209
11545,시흥동,무지개,53.75,8,1980,2026,3,19,46000,,,중개거래,시흥대로73길,109-1
11545,시흥동,백운한비치,76.0537,5,2003,2026,3,23,53100,,,중개거래,탑골로2길,1012
11545,독산동,청광플러스원,84.962,5,2003,2026,3,31,65000,,,중개거래,두산로11길,1139
11545,시흥동,남서울힐스테이트,115.801,14,2014,2026,3,27,98000,,,직거래,시흥대로,1026
11545,시흥동,무지개,53.75,2,1980,2026,3,15,45600,,,중개거래,시흥대로73길,109-1
11545,가산동,두산,84.9,8,1998,2026,3,29,73000,,,중개거래,가산로,769
11545,가산동,두산,84.9,12,1998,2026,3,30,73000,,,중개거래,가산로,769
